Estudante,Questão,N Submissões
AA,Q04.1 - CC,1
AA,Q04.2 - DP,1
AA,Q05.1 - DAM,
AA,Q05.2 - DPS,
AA,Q06.1 - AE,
AA,Q06.2 - CV,
AS,Q04.1 - CC,5
AS,Q04.2 - DP,1
AS,Q05.1 - DAM,1
AS,Q05.2 - DPS,2
AS,Q06.1 - AE,2
AS,Q06.2 - CV,1
DD,Q04.1 - CC,2
DD,Q04.2 - DP,1
DD,Q05.1 - DAM,1
DD,Q05.2 - DPS,1
DD,Q06.1 - AE,1
DD,Q06.2 - CV,1
DA,Q04.1 - CC,2
DA,Q04.2 - DP,1
DA,Q05.1 - DAM,1
DA,Q05.2 - DPS,1
DA,Q06.1 - AE,
DA,Q06.2 - CV,1
DV,Q04.1 - CC,2
DV,Q04.2 - DP,
DV,Q05.1 - DAM,
DV,Q05.2 - DPS,
DV,Q06.1 - AE,
DV,Q06.2 - CV,
EM,Q04.1 - CC,2
EM,Q04.2 - DP,1
EM,Q05.1 - DAM,2
EM,Q05.2 - DPS,1
EM,Q06.1 - AE,1
EM,Q06.2 - CV,1
EC,Q04.1 - CC,4
EC,Q04.2 - DP,1
EC,Q05.1 - DAM,
EC,Q05.2 - DPS,
EC,Q06.1 - AE,
EC,Q06.2 - CV,