Exercício,Tempo
EX 1,22
EX 1,21
EX 1,24
EX 1,19
EX 1,19
EX 1,23
EX 1,16
EX 1,20
EX 1,17
EX 1,22
EX 1,21
EX 1,25
EX 1,30
EX 1,15
EX 2,20
EX 2,25
EX 2,18
EX 2,16
EX 2,23
EX 2,27
EX 2,25
EX 2,17
EX 2,27
EX 2,24
EX 2,26
EX 2,26
EX 2,19
EX 2,27
EX 3,19
EX 3,8
EX 3,12
EX 3,8
EX 3,20
EX 3,18
EX 3,16
EX 3,8
EX 3,13
EX 3,14
EX 3,20
EX 3,15
EX 3,8
EX 3,17
EX 4,8
EX 4,16
EX 4,18
EX 4,14
EX 4,9
EX 4,13
EX 4,12
EX 4,13
EX 4,8
EX 4,19
EX 4,16
EX 4,8
EX 4,20
EX 4,13